,SDURAKKODU,SDURAKADI,KOORDINAT,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM
0,225981,DENİZ HARP OKULU,POINT (29.266183999994 40.8140130005245),Tuzla,TUZLA,YOK,KAPALI,CCMODERN,Uygun Degil
1,214552,ORTADAĞ,POINT (29.2146629999931 40.9545840005467),Sancaktepe,SARIGAZI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
2,127912,CİHANGİR MAHALLESİ,POINT (28.7138379999778 40.9909100005519),Avcilar,B.ÇEKMECE,VAR,AÇIK,İETTBAYRAK,Uygun Degil
3,112962,SALİHPAŞA,POINT (29.0171530014486 41.2225459948658),Sariyer,SARIYER,YOK,FULL KAPALI,İETTCAMLI,Uygun Degil
4,127001,GÜRPINAR,POINT (28.6150769999693 40.9905620005515),Beylikdüzü,SITELER-B.DÜZÜ,YOK,KAPALI,CCMODERN,Uygun Degil
5,108881,İNEBEY,POINT (28.9502349969637 41.0088629810843),Fatih,AKSARAY,YOK,KAPALI,CCMODERNDR,Uygun Degil
6,115181,ÇAKIROĞLU,POINT (28.9970100084085 41.1088629888919),Sariyer,AYAZAGA KÖYÜ,YOK,,AÇIK DURAK,Uygun Degil
7,165111,VEYSEL KARANİ CADDESİ,POINT (28.8497740219072 41.0635730301376),Bagcilar,BAGCILAR,YOK,AÇIK,AÇIK DURAK,Uygun Degil
8,216932,DOĞANEVLER CADDESİ,POINT (29.1374240058257 41.0132259995105),Ümraniye,IMES,YOK,AÇIK,AÇIK DURAK,Uygun Degil
9,209061,TELEFON SANTRALİ,POINT (29.3220969999944 40.8694820005333),Tuzla,PENDIK,YOK,KAPALI,CCMODERNDR,Uygun Degil
10,229211,ATATÜRK CADDESİ,POINT (29.4593159999955 40.9738280005498),Pendik,GÖÇBEYLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil
11,113001,ÇAYIRBAŞI,POINT (29.0348399683754 41.1558149985463),Sariyer,BAHÇEKÖY,YOK,KAPALI,WALLMODERN,Uygun Degil
12,113011,FİDAN SOKAK,POINT (29.0308190449227 41.1556449741158),Sariyer,BAHÇEKÖY,YOK,KAPALI,CCMODERN,Uygun Degil
13,113172,KEFELİKÖY,POINT (29.0360659999899 41.1533050005783),Sariyer,ÇAYIRBASI,VAR,KAPALI,CCMODERNDR,Uygun Degil
14,113252,MASLAK,POINT (29.0209720086216 41.1085509961235),Sariyer,LEVENT,VAR,KAPALI,WALLMODERN,Uygun Degil
15,131892,FÜRUZAN SADIKOĞLU ORTAOKULU,POINT (28.8366709999843 41.0577740005628),Bagcilar,GÖZTEPE-AKSARAY,YOK,KAPALI,CCMODERN,Uygun Degil
